ORGAO_INTERNO;COD_TIPO;TIPO;COD_SUBELEMENTO;SUBELEMENTO
secretaria municipal de administracao;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
secretaria municipal de administracao;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;449052;equipamentos e material permanente;8099;outros materiais permanentes
secretaria municipal de desenvolvimento humano;339032;material, bem ou servico para distribuicao gratuita;9999;outros materiais de distribuicao gratuita
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de educacao;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
secretaria municipal da fazenda publica;469071;principal da divida contratual resgatado;9901;amortizacao da divida contratual
secretaria municipal de educacao;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
secretaria municipal de educacao;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
secretaria municipal de desenvolvimento humano;339014;diarias - civil;9900;diarias - civil
secretaria municipal de desenvolvimento humano;339014;diarias - civil;9900;diarias - civil
secretaria municipal de infra estrutura;339030;material de consumo;299;generos de alimentacao
secretaria municipal de infra estrutura;339030;material de consumo;1999;outros materiais de consumo
secretaria municipal de infra estrutura;339030;material de consumo;1921;material de limpeza e producao de higienizacao
secretaria de governo e articulacao politica;339030;material de consumo;299;generos de alimentacao
secretaria de governo e articulacao politica;339030;material de consumo;1999;outros materiais de consumo
secretaria de governo e articulacao politica;339030;material de consumo;1921;material de limpeza e producao de higienizacao
secretaria de governo e articulacao politica;339030;material de consumo;1999;outros materiais de consumo
secretaria municipal de infra estrutura;339030;material de consumo;1999;outros materiais de consumo
secretaria de governo e articulacao politica;339030;material de consumo;1999;outros materiais de consumo
secretaria municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4517;manutencao e conservacao de maquinas e equipamentos
secretaria municipal de planejamento;339039;outros servicos de terceiros - pessoa juridica;8999;servico notarial e registral
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
fundo municipal de saude;339030;material de consumo;309;material farmacologico
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339030;material de consumo;716;material de expediente
fundo municipal de saude;339030;material de consumo;299;generos de alimentacao
fundo municipal de saude;339030;material de consumo;1399;material para manutencao de veiculos
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4699;manutencao e conservacao de veiculos
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4517;manutencao e conservacao de maquinas e equipamentos
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4517;manutencao e conservacao de maquinas e equipamentos
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4517;manutencao e conservacao de maquinas e equipamentos
fundo municipal de assistencia social;339036;outros servicos de terceiros - pessoa fisica;2599;locacao de imoveis
fundo municipal de assistencia social;339039;outros servicos de terceiros - pessoa juridica;5044;servicos de agua e esgoto
fundo municipal de assistencia social;339039;outros servicos de terceiros - pessoa juridica;5044;servicos de agua e esgoto
secretaria municipal de desenvolvimento rural e do meio ambiente e recursos hidricos;339039;outros servicos de terceiros - pessoa juridica;5044;servicos de agua e esgoto
Secretaria Municipal de Controle Social;339039;outros servicos de terceiros - pessoa juridica;4943;servicos de energia eletrica
procuradoria geral do municipio;339093;indenizacoes e restituicoes;9902;restituicoes
procuradoria geral do municipio;339093;indenizacoes e restituicoes;9902;restituicoes
procuradoria geral do municipio;339093;indenizacoes e restituicoes;9902;restituicoes
secretaria municipal de saude;339032;material, bem ou servico para distribuicao gratuita;9902;medicamentos para uso domiciliar
secretaria municipal de saude;339032;material, bem ou servico para distribuicao gratuita;9902;medicamentos para uso domiciliar
secretaria municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4943;servicos de energia eletrica
secretaria municipal de administracao;339039;outros servicos de terceiros - pessoa juridica;9299;entidade da administracao prestadora de servico publico
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4699;manutencao e conservacao de veiculos
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
fundo municipal de saude;339030;material de consumo;1099;material para manutencao de bens imoveis
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4399;locacao de maquinas e equipamentos
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4399;locacao de maquinas e equipamentos
fundo municipal de saude;339030;material de consumo;299;generos de alimentacao
fundo municipal de saude;339030;material de consumo;299;generos de alimentacao
fundo municipal de saude;339030;material de consumo;1999;outros materiais de consumo
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4399;locacao de maquinas e equipamentos
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339030;material de consumo;1236;material hospitalar
fundo municipal de saude;339030;material de consumo;1236;material hospitalar
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de planejamento;339014;diarias - civil;9900;diarias - civil
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de desenvolvimento humano;339014;diarias - civil;9900;diarias - civil
secretaria municipal de desenvolvimento humano;339014;diarias - civil;9900;diarias - civil
secretaria municipal de desenvolvimento humano;339014;diarias - civil;9900;diarias - civil
secretaria municipal de desenvolvimento humano;339030;material de consumo;1999;outros materiais de consumo
secretaria municipal de desenvolvimento humano;339030;material de consumo;1999;outros materiais de consumo
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
fundo municipal de assistencia social;339030;material de consumo;716;material de expediente
fundo municipal de assistencia social;339030;material de consumo;1999;outros materiais de consumo
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339039;outros servicos de terceiros - pessoa juridica;3999;assinaturas de periodicos e anuidades
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de cultura e turismo;339018;auxilio financeiro a estudantes;9900;auxilio financeiro a estudantes
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
secretaria municipal de educacao;339030;material de consumo;1921;material de limpeza e producao de higienizacao
secretaria municipal de educacao;339030;material de consumo;299;generos de alimentacao
procuradoria geral do municipio;319091;sentencas judiciais;9908;sentenca judicial - ativo civil
procuradoria geral do municipio;339091;sentencas judiciais;9905;sentencas judiciais de pequeno valor
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339036;outros servicos de terceiros - pessoa fisica;2999;manutencao e conservacao de bens moveis de outras naturezas
fundo municipal de assistencia social;339039;outros servicos de terceiros - pessoa juridica;5399;servicos de telecomunicacoes
procuradoria geral do municipio;339091;sentencas judiciais;9905;sentencas judiciais de pequeno valor
secretaria municipal de desenvolvimento rural e do meio ambiente e recursos hidricos;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
secretaria municipal de juventude esporte turismo lazer;339030;material de consumo;1999;outros materiais de consumo
procuradoria geral do municipio;339091;sentencas judiciais;9999;outras sentencas judiciais
procuradoria geral do municipio;339091;sentencas judiciais;9999;outras sentencas judiciais
procuradoria geral do municipio;339091;sentencas judiciais;9999;outras sentencas judiciais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339036;outros servicos de terceiros - pessoa fisica;3899;outros servicos de pessoa fisica
procuradoria geral do municipio;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
procuradoria geral do municipio;339091;sentencas judiciais;9905;sentencas judiciais de pequeno valor
procuradoria geral do municipio;339091;sentencas judiciais;9999;outras sentencas judiciais
procuradoria geral do municipio;339091;sentencas judiciais;9999;outras sentencas judiciais
fundo municipal de saude;339036;outros servicos de terceiros - pessoa fisica;2199;estagiarios
fundo municipal de saude;339036;outros servicos de terceiros - pessoa fisica;2199;estagiarios
fundo municipal de saude;339036;outros servicos de terceiros - pessoa fisica;2199;estagiarios
fundo municipal de saude;339036;outros servicos de terceiros - pessoa fisica;2199;estagiarios
fundo municipal de saude;339036;outros servicos de terceiros - pessoa fisica;2199;estagiarios
fundo municipal de saude;339036;outros servicos de terceiros - pessoa fisica;2199;estagiarios
fundo municipal de saude;339036;outros servicos de terceiros - pessoa fisica;2199;estagiarios
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;8999;servico notarial e registral
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339036;outros servicos de terceiros - pessoa fisica;3899;outros servicos de pessoa fisica
fundo municipal de saude;339036;outros servicos de terceiros - pessoa fisica;3899;outros servicos de pessoa fisica
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4399;locacao de maquinas e equipamentos
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4399;locacao de maquinas e equipamentos
fundo municipal de saude;339030;material de consumo;1999;outros materiais de consumo
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
fundo municipal de saude;339093;indenizacoes e restituicoes;9903;ajuda de custo
fundo municipal de saude;339093;indenizacoes e restituicoes;9903;ajuda de custo
fundo municipal de saude;339093;indenizacoes e restituicoes;9903;ajuda de custo
fundo municipal de saude;339093;indenizacoes e restituicoes;9903;ajuda de custo
fundo municipal de saude;339093;indenizacoes e restituicoes;9903;ajuda de custo
fundo municipal de saude;339093;indenizacoes e restituicoes;9903;ajuda de custo
fundo municipal de saude;339093;indenizacoes e restituicoes;9903;ajuda de custo
fundo municipal de saude;339093;indenizacoes e restituicoes;9903;ajuda de custo
fundo municipal de saude;339093;indenizacoes e restituicoes;9903;ajuda de custo
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
secretaria municipal de educacao;319011;vencimentos e vantagens fixas - pessoal civil;9601;vencimentos e salarios - vinculado ao rpps
secretaria municipal de educacao;319011;vencimentos e vantagens fixas - pessoal civil;9601;vencimentos e salarios - vinculado ao rpps
secretaria municipal de educacao;319011;vencimentos e vantagens fixas - pessoal civil;9601;vencimentos e salarios - vinculado ao rpps
secretaria municipal de educacao;319011;vencimentos e vantagens fixas - pessoal civil;9601;vencimentos e salarios - vinculado ao rpps
secretaria municipal de educacao;319011;vencimentos e vantagens fixas - pessoal civil;9601;vencimentos e salarios - vinculado ao rpps
secretaria municipal de educacao;319011;vencimentos e vantagens fixas - pessoal civil;9601;vencimentos e salarios - vinculado ao rpps
secretaria municipal de educacao;319011;vencimentos e vantagens fixas - pessoal civil;9601;vencimentos e salarios - vinculado ao rpps
secretaria municipal de educacao;319011;vencimentos e vantagens fixas - pessoal civil;9601;vencimentos e salarios - vinculado ao rpps
secretaria municipal de educacao;319011;vencimentos e vantagens fixas - pessoal civil;9601;vencimentos e salarios - vinculado ao rpps
secretaria municipal de educacao;319011;vencimentos e vantagens fixas - pessoal civil;9601;vencimentos e salarios - vinculado ao rpps
secretaria municipal de administracao;339093;indenizacoes e restituicoes;9902;restituicoes
secretaria municipal de politicas publicas para as mulheres;339036;outros servicos de terceiros - pessoa fisica;3899;outros servicos de pessoa fisica
secretaria de governo e articulacao politica;339014;diarias - civil;9900;diarias - civil
secretaria municipal de planejamento;339092;despesas de exercicios anteriores;8539;outros servicos de terceiros - pj
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4943;servicos de energia eletrica
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4399;locacao de maquinas e equipamentos
fundo municipal de assistencia social;339030;material de consumo;1999;outros materiais de consumo
secretaria municipal de educacao;339036;outros servicos de terceiros - pessoa fisica;9499;remuneracao a conselheiros
secretaria municipal de educacao;339036;outros servicos de terceiros - pessoa fisica;9499;remuneracao a conselheiros
secretaria municipal de educacao;339036;outros servicos de terceiros - pessoa fisica;9499;remuneracao a conselheiros
secretaria municipal de infra estrutura;339030;material de consumo;101;combustiveis e lubrificantes automotivos
secretaria municipal de politicas publicas;339030;material de consumo;101;combustiveis e lubrificantes automotivos
secretaria de governo e articulacao politica;339030;material de consumo;101;combustiveis e lubrificantes automotivos
secretaria municipal de administracao;339030;material de consumo;101;combustiveis e lubrificantes automotivos
secretaria municipal de politicas publicas para as mulheres;339030;material de consumo;101;combustiveis e lubrificantes automotivos
secretaria municipal de educacao;339030;material de consumo;101;combustiveis e lubrificantes automotivos
procuradoria geral do municipio;339030;material de consumo;101;combustiveis e lubrificantes automotivos
secretaria municipal de desenvolvimento rural e do meio ambiente e recursos hidricos;339030;material de consumo;101;combustiveis e lubrificantes automotivos
secretaria municipal de desenvolvimento rural e do meio ambiente e recursos hidricos;339030;material de consumo;101;combustiveis e lubrificantes automotivos
secretaria municipal de desenvolvimento humano;339030;material de consumo;101;combustiveis e lubrificantes automotivos
secretaria municipal de juventude esporte turismo lazer;339030;material de consumo;101;combustiveis e lubrificantes automotivos
secretaria municipal da fazenda publica;339030;material de consumo;101;combustiveis e lubrificantes automotivos
secretaria municipal de planejamento;339030;material de consumo;101;combustiveis e lubrificantes automotivos
secretaria municipal de administracao;339039;outros servicos de terceiros - pessoa juridica;6199;outros servicos de terceiros, pessoa juridica
secretaria municipal da fazenda publica;339039;outros servicos de terceiros - pessoa juridica;4399;locacao de maquinas e equipamentos
secretaria municipal de administracao;339039;outros servicos de terceiros - pessoa juridica;5465;servicos de apoio ao ensino
secretaria municipal de saude;339039;outros servicos de terceiros - pessoa juridica;9599;locacao de veiculos
secretaria municipal de politicas publicas para as mulheres;339030;material de consumo;716;material de expediente
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5044;servicos de agua e esgoto
fundo municipal de saude;339030;material de consumo;309;material farmacologico
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;4699;manutencao e conservacao de veiculos
procuradoria geral do municipio;339091;sentencas judiciais;9999;outras sentencas judiciais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
fundo municipal de saude;339039;outros servicos de terceiros - pessoa juridica;5150;servico medico, hospital, odontologico e laboratoriais
secretaria municipal de infra estrutura;339030;material de consumo;1999;outros materiais de consumo
secretaria municipal de infra estrutura;339030;material de consumo;1999;outros materiais de consumo
secretaria de governo e articulacao politica;339030;material de consumo;716;material de expediente
secretaria municipal de politicas publicas para as mulheres;339030;material de consumo;299;generos de alimentacao
secretaria de governo e articulacao politica;339030;material de consumo;1999;outros materiais de consumo
secretaria de governo e articulacao politica;339030;material de consumo;1921;material de limpeza e producao de higienizacao
secretaria de governo e articulacao politica;339014;diarias - civil;9900;diarias - civil
secretaria de governo e articulacao politica;339014;diarias - civil;9900;diarias - civil
secretaria municipal de saude;339014;diarias - civil;9900;diarias - civil
secretaria municipal de saude;339014;diarias - civil;9900;diarias - civil
secretaria municipal de saude;339014;diarias - civil;9900;diarias - civil
secretaria municipal da fazenda publica;339047;obrigacoes tributarias e contributivas;9900;obrigacoes tributarias e contributivas
secretaria municipal de saude;339093;indenizacoes e restituicoes;9901;indenizacoes
secretaria municipal de planejamento;339039;outros servicos de terceiros - pessoa juridica;4399;locacao de maquinas e equipamentos
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
secretaria municipal de desenvolvimento humano;339048;outros auxilios financeiros a pessoas fisicas;9999;outros beneficios eventuais
